DATE,ACTION,SHORT_DESCRIPTION,LONG_DESCRIPTION,PROJECT,PRIORITY,LINE,FILE,FUNCTION
"2011-07-13 23:06:26",Schedule,"Checking for due processing slots","ECI is checking all speed profiles for due processing times. Further log entries will determine the outcome.",Operation,Low,246,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\includes\eci_i_hooks.php",eci_eventtrigger
"2011-07-13 23:06:26",Schedule,"Checking for due processing slots","ECI is checking all speed profiles for due processing times. Further log entries will determine the outcome.",Operation,Low,246,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\includes\eci_i_hooks.php",eci_eventtrigger
"2011-07-13 23:06:29",Schedule,"Checking for due processing slots","ECI is checking all speed profiles for due processing times. Further log entries will determine the outcome.",Operation,Low,246,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\includes\eci_i_hooks.php",eci_eventtrigger
"2011-07-13 23:06:33",Schedule,"Checking for due processing slots","ECI is checking all speed profiles for due processing times. Further log entries will determine the outcome.",Operation,Low,246,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\includes\eci_i_hooks.php",eci_eventtrigger
"2011-07-13 23:06:39",Schedule,"Checking for due processing slots","ECI is checking all speed profiles for due processing times. Further log entries will determine the outcome.",Operation,Low,246,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\includes\eci_i_hooks.php",eci_eventtrigger
"2011-07-13 23:06:39","Created Table","Table created for WTGTestA.csv","A new database table was created for project WTGTestA.csv. Your projects data is stored there first before being used to create posts.",WTGTestA.csv,Low,637,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\functions\eci_f_data.php",eci_createtable
"2011-07-13 23:06:39","Table Deleted","Table wp_wtgtesta dropped","Database table named wp_wtgtesta was deleted after a new project was created using the same name. Your acceptable drop limit allowed the existing table to be deleted automatically",WTGTestA.csv,High,683,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\functions\eci_f_data.php",eci_createtable
"2011-07-13 23:06:39","Table Created","Table name wp_wtgtesta","A database table named wp_wtgtesta was created, your projects data will be stored here first before being used to create posts.",WTGTestA.csv,Low,756,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\functions\eci_f_data.php",eci_createtable
"2011-07-13 23:06:39","Easy Project Config","Auto token found no match for ID while preparing design","Auto token system could not match your csv files column named ID meaning the column will not be used in your design. If you need this column to be included in the post design
			please edit it to match a value in the Auto Token system (see blog and forum) or seek support",WTGTestA.csv,Low,2345,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\functions\eci_f_process.php",eci_easy_posttemplatedesign
"2011-07-13 23:06:39","Easy Project Config","Auto token found no match for PRICE while preparing design","Auto token system could not match your csv files column named PRICE meaning the column will not be used in your design. If you need this column to be included in the post design
			please edit it to match a value in the Auto Token system (see blog and forum) or seek support",WTGTestA.csv,Low,2345,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\functions\eci_f_process.php",eci_easy_posttemplatedesign
"2011-07-13 23:06:39","Easy Project Config","Auto token found no match for DATE while preparing design","Auto token system could not match your csv files column named DATE meaning the column will not be used in your design. If you need this column to be included in the post design
			please edit it to match a value in the Auto Token system (see blog and forum) or seek support",WTGTestA.csv,Low,2345,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\functions\eci_f_process.php",eci_easy_posttemplatedesign
"2011-07-13 23:06:45",Schedule,"Checking for due processing slots","ECI is checking all speed profiles for due processing times. Further log entries will determine the outcome.",Operation,Low,246,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\includes\eci_i_hooks.php",eci_eventtrigger
"2011-07-13 23:06:45","Data Import Started","Data import started","Data import was requested and attempted. The results will be entered in further log entries.",WTGTestA.csv,Low,94,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\functions\eci_f_data.php",eci_dataimport
"2011-07-13 23:06:45",Import,"Imported:9 Import Failed:0 Updated:0 Updated Failed:0","Imported:9 Import Failed:0 Updated:0 Updated Failed:0",WTGTestA.csv,Low,307,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\functions\eci_f_data.php",eci_dataimport
"2011-07-13 23:06:45","Create Posts","Post creation procedure started","Your project appears to have new database records, the plugin will not attempt to create posts",WTGTestA.csv,Low,984,"C:\AppServ\www\wordpress-testing\eci\wp-content\plugins\easy-csv-importer-2\functions\eci_f_global.php",eci_createposts
